chunker,chunk_size,overlap_size,top_k,iou_score,recall_score,precision_score,iou_score_std,recall_score_std,precision_score_std
fixed-size,800,400,5,0.013999000339838493,0.9401115217328204,0.014000175933821456,0.008762918179985119,0.23050161588519386,0.008763575241950233
fixed-size,800,400,10,0.007425734770271444,0.9985926978114479,0.007425950834814784,0.004178999480017796,0.016828886515044317,0.004179187591176313
fixed-size,800,400,Min,0.029041205049714032,0.7707359174121409,0.029081120886075316,0.024929315823624305,0.4141179415072245,0.025046980726247142
recursive,800,400,5,0.01629872612434317,0.9203502415458937,0.016299070768119362,0.010716102422422802,0.2675369054791645,0.010715819032683467
recursive,800,400,10,0.008593818027116574,0.9828502415458937,0.008593913944889694,0.005086352383622424,0.12298766442261878,0.005086264809857331
recursive,800,400,Min,0.037866386379356805,0.7211233382471836,0.03787191906869398,0.036451384671626244,0.444787944685293,0.036448176282093285
fixed-size,800,200,5,0.014207056092148142,0.9401492544596594,0.014208552219058597,0.008860380397828906,0.22808682648933223,0.008860526529651167
fixed-size,800,200,10,0.007567022579769695,0.9948368442792235,0.007567097951077095,0.004348017538809861,0.06174236236628147,0.004347919909115595
fixed-size,800,200,Min,0.034692064179966155,0.6125459686007176,0.03474287185270215,0.039425210902046114,0.4783569021787736,0.03948526360051834
recursive,800,200,5,0.016928789103820955,0.9550724637681159,0.01692916226650706,0.01037344127654907,0.2029270166367096,0.010373112556937635
recursive,800,200,10,0.00886093605323701,1.0,0.00886093605323701,0.004987798231410607,0.0,0.004987798231410607
recursive,800,200,Min,0.04963628589485958,0.6341132141605327,0.0496399357387595,0.05222904305473195,0.4801272633491744,0.05222665398821667
fixed-size,800,125,5,0.01397838259251387,0.9359974134310995,0.013979548764945246,0.008853618316274401,0.23391648332458853,0.008853325682561036
fixed-size,800,125,10,0.007570055314551442,0.9930555555555556,0.007570055314551442,0.004384907666748328,0.08304347738264861,0.004384907666748328
fixed-size,800,125,Min,0.0404877125621825,0.6495609634481708,0.0404971815978732,0.04256489132002536,0.4724787678053362,0.042562782949440645
recursive,800,125,5,0.016621149130947303,0.9689613526570048,0.01662152229363341,0.010055082027444684,0.16836142989167963,0.010054754317189633
recursive,800,125,10,0.0086515337057661,1.0,0.0086515337057661,0.004922376839293811,0.0,0.004922376839293811
recursive,800,125,Min,0.0524446259289794,0.6366650738670909,0.052450958634829375,0.05332230941185555,0.4793750750415896,0.05332133195804832
fixed-size,400,200,5,0.02788790413749589,0.9459565318107016,0.027918629881781985,0.016197951576564788,0.19446213171313387,0.016216075690127434
fixed-size,400,200,10,0.014601893397502699,0.9778458159838473,0.014602430498786154,0.008471105786401865,0.13584630003707515,0.008470484931029304
