chunker,chunk_size,overlap_size,top_k,iou_score,recall_score,precision_score,iou_score_std,recall_score_std,precision_score_std
fixed-size,800,400,5,0.01352076365492235,0.890847242894622,0.013524188723879943,0.009136108573641702,0.29435027447719175,0.009135393656094832
fixed-size,800,400,10,0.007397477018314054,0.9780261557177615,0.0073975391738159086,0.004319602993566329,0.14331013116012317,0.004319593660539414
fixed-size,800,400,Min,0.03488761466417593,0.6990835649053362,0.03502089274125042,0.032234551317389774,0.4356711423516225,0.03227469326447353
recursive,800,400,5,0.015747509672633372,0.8835597049050731,0.015749996629333893,0.010921334368787975,0.3101223050358444,0.010920741180175594
recursive,800,400,10,0.008539094327665728,0.9723611884338873,0.008539361862316195,0.0051090249289864435,0.15298423970369152,0.0051088134878947075
recursive,800,400,Min,0.044414706507434384,0.6391056358813159,0.04443222727709834,0.050112980159641954,0.47343429049393276,0.05010866635850168
fixed-size,800,200,5,0.012548536465353293,0.8390534539859128,0.012555362058305791,0.009219524960873887,0.3485668774247788,0.009222509943571423
fixed-size,800,200,10,0.00754297959641908,0.9493779463199513,0.007543135637913808,0.0047945937761502645,0.21260210751069547,0.004794460323667139
fixed-size,800,200,Min,0.024324847745543037,0.4753594409614472,0.02440085079858417,0.030804024420095638,0.4873542326264618,0.030876700725922322
recursive,800,200,5,0.016110805443582097,0.9342391304347826,0.0161111786062682,0.010096567724272996,0.2443495425825521,0.010096260223155707
recursive,800,200,10,0.008854683476021523,0.9930555555555556,0.008854683476021523,0.0050569541160783325,0.0830434773826486,0.0050569541160783325
recursive,800,200,Min,0.04392548816203386,0.5643101878101129,0.04396706924404965,0.051642450811471924,0.4895645826061809,0.05163998019802808
fixed-size,800,125,5,0.012667377829171258,0.836090214758923,0.012671081851636413,0.009187841425404398,0.3603658207741099,0.009187652843020104
fixed-size,800,125,10,0.0073651142521652425,0.9237500773227763,0.007365346265637909,0.004845140070632708,0.25877623906636427,0.004844988357029561
fixed-size,800,125,Min,0.03531443815897494,0.5702263443076386,0.03534410485954159,0.040090637369919774,0.4877122765561338,0.040085489162378966
recursive,800,125,5,0.01535533297083271,0.9166200828157349,0.015355943694583355,0.010003956744420879,0.27013237003999324,0.010003438847617225
